method,n_train,rmse,r2,seed
active,12,0.037582967432939755,0.9883278075950226,0
active,16,0.0233217704818873,0.9955053763095936,0
active,20,0.013928538467112271,0.9983968232774246,0
active,24,0.007955400136378224,0.999477008826375,0
active,28,0.005503576039924442,0.9997497003483923,0
active,32,0.004774626136992931,0.9998116138178369,0
active,36,0.003966583884711594,0.9998699819677915,0
active,40,0.0047507099367135285,0.9998134963516767,0
active,44,0.0046475883511742245,0.9998215051823043,0
active,48,0.004000238771953225,0.9998677663053689,0
active,52,0.002784250548117421,0.9999359400006023,0
active,56,0.002217292843944646,0.999959372844786,0
active,60,0.001932204218885054,0.9999691484950003,0
active,64,0.0017286420334098284,0.9999753066256318,0
active,68,0.0014551488262103062,0.9999825021322725,0
active,72,0.0013625338166504061,0.9999846586039329,0
active,76,0.0010585792988309598,0.9999907398697309,0
active,80,0.000995208742020718,0.9999918153772384,0
active,84,0.0006784859708027203,0.9999961958989325,0
active,88,0.0004797882781926474,0.9999980977413421,0
active,92,0.000473823480733862,0.9999981447456433,0
active,96,0.000445466988389546,0.9999983601604584,0
active,100,0.000413612574888229,0.9999985862983317,0
random,12,0.037582967432939755,0.9883278075950226,0
random,16,0.03724176068830992,0.988538783596618,0
random,20,0.021921286616161932,0.9960289771744738,0
random,24,0.011612191259303586,0.9988857088963858,0
random,28,0.009218828620742909,0.9992977014277635,0
random,32,0.007827802894335198,0.9994936508729532,0
random,36,0.005014537901294507,0.9997922064135402,0
random,40,0.0045443881006970825,0.9998293441695358,0
random,44,0.003358668221838252,0.999906780984283,0
random,48,0.0023279056383603575,0.999955218251455,0
random,52,0.0021414122460584727,0.99996210596373,0
random,56,0.0013459538680024937,0.9999850296948708,0
random,60,0.0014938526514479047,0.9999815589422829,0
random,64,0.0014908729460399765,0.9999816324356325,0
random,68,0.001051937381083859,0.99999085570814,0
random,72,0.0009711283500820981,0.9999922066610005,0
random,76,0.0008821174528548203,0.9999935698199733,0
random,80,0.0008644785352423417,0.9999938244060759,0
random,84,0.000803352385293704,0.9999946668662242,0
random,88,0.0007616273323361759,0.9999952064711587,0
random,92,0.0007132110321493193,0.9999957965449533,0
random,96,0.0006824407080189062,0.9999961514232459,0
random,100,0.0006108275473880218,0.9999969167585754,0
active,12,0.021993245930939768,0.9960028636443102,1
active,16,0.02516754368261348,0.9947657800942596,1
active,20,0.02027957747333762,0.9966014934837145,1
active,24,0.020287573048728583,0.9965988131150707,1
active,28,0.008220276130928501,0.9994416029499246,1
active,32,0.004978024882081276,0.9997952214664229,1
active,36,0.00464462864786566,0.9998217324500602,1
active,40,0.004048753371225237,0.9998645394146753,1
active,44,0.0032373521704632414,0.999913393558487,1
active,48,0.0026535273974235742,0.9999418141404033,1
active,52,0.0024152942580467564,0.9999517929672641,1
active,56,0.0013659890224484085,0.9999845806977697,1
active,60,0.0013565355985739646,0.9999847933800217,1
active,64,0.0012958466185791153,0.9999861235778927,1
active,68,0.0010475248705625912,0.999990932261477,1
active,72,0.0010697648010147315,0.999990543141071,1
active,76,0.0009836065092256895,0.9999920050989904,1
